index,equity
0,10000
1,10000
2,10000
3,10000
4,10000
5,10000
6,10000
7,10000
8,10000
9,10000
10,10000
11,10000
12,10000
13,10000
14,10000
15,10000
16,10000
17,10000
18,10000
19,10000
20,10000
21,10000
22,10000
23,10000
24,10000
25,10000
26,10000
27,10000
28,10000
29,10000
30,10000
31,10000
32,10000
33,10000
34,10000
35,10000
36,10000
37,10000
38,10000
39,10000
40,10000
41,10015.771007055804
42,10015.771007055804
43,10015.771007055804
44,10015.771007055804
45,10015.771007055804
46,10015.771007055804
47,10015.771007055804
48,10015.771007055804
49,10015.771007055804
50,10015.771007055804
51,10015.771007055804
52,10015.771007055804
53,10015.771007055804
54,10015.771007055804
55,10015.771007055804
56,10015.771007055804
57,10015.771007055804
58,10015.771007055804
59,10015.771007055804
60,10015.771007055804
61,10015.771007055804
62,10015.771007055804
63,10015.771007055804
64,10015.771007055804
65,10015.771007055804
66,10015.771007055804
67,10015.771007055804
68,10015.771007055804
69,10015.771007055804
70,10015.771007055804
71,10015.771007055804
72,10015.771007055804
73,10015.771007055804
74,10024.872185536673
75,10024.872185536673
76,10024.872185536673
77,10024.872185536673
78,10024.872185536673
79,10024.872185536673
80,10024.872185536673
81,10024.872185536673
82,10024.872185536673
83,10024.872185536673
84,10024.872185536673
85,10024.872185536673
86,10024.872185536673
87,10024.872185536673
88,10024.872185536673
89,10024.872185536673
90,10024.872185536673
91,10024.872185536673
92,10024.872185536673
93,10024.872185536673
94,10024.872185536673
95,10024.872185536673
96,10024.872185536673
97,10024.872185536673
98,10024.872185536673
99,10024.872185536673
100,10024.872185536673
101,10024.872185536673
102,10024.872185536673
103,10024.872185536673
104,10024.872185536673
105,10024.872185536673
106,10024.872185536673
107,10024.872185536673
108,10024.872185536673
109,10024.872185536673
110,10024.872185536673
111,10024.872185536673
112,10024.872185536673
113,10024.872185536673
114,9913.268866590437
115,9913.268866590437
116,9913.268866590437
117,9913.268866590437
118,9913.268866590437
119,9913.268866590437
120,9913.268866590437
121,9913.268866590437
122,9913.268866590437
123,9913.268866590437
124,9913.268866590437
125,9913.268866590437
126,9913.268866590437
127,9913.268866590437
128,9913.268866590437
129,9913.268866590437
130,9913.268866590437
131,9913.268866590437
132,9913.268866590437
133,9913.268866590437
134,9913.268866590437
135,9913.268866590437
136,9913.268866590437
137,9913.268866590437
138,9913.268866590437
139,9913.268866590437
140,9913.268866590437
141,9913.268866590437
142,9913.268866590437
143,9913.268866590437
144,9913.268866590437
145,9913.268866590437
146,9913.268866590437
147,9913.268866590437
148,9913.268866590437
149,9913.268866590437
150,9913.268866590437
151,9913.268866590437
152,9901.508059846856
153,9901.508059846856
154,9901.508059846856
155,9901.508059846856
156,9901.508059846856
157,9901.508059846856
158,9901.508059846856
159,9901.508059846856
160,9901.508059846856
161,9901.508059846856
162,9901.508059846856
163,9901.508059846856
164,9901.508059846856
165,9901.508059846856
166,9901.508059846856
167,9901.508059846856
168,9901.508059846856
169,9901.508059846856
170,9901.508059846856
171,9901.508059846856
172,9901.508059846856
173,9901.508059846856
174,9901.508059846856
175,9901.508059846856
176,9901.508059846856
177,9901.508059846856
178,9901.508059846856
179,9946.569845204316
180,9946.569845204316
181,9946.569845204316
182,9946.569845204316
183,9946.569845204316
184,9946.569845204316
185,9946.569845204316
186,9946.569845204316
187,9946.569845204316
188,9946.569845204316
189,9946.569845204316
190,9946.569845204316
191,9946.569845204316
192,9946.569845204316
193,9946.569845204316
194,9946.569845204316
195,9946.569845204316
196,9946.569845204316
197,9946.569845204316
198,9946.569845204316
199,9946.569845204316
200,9946.569845204316
201,9946.569845204316
202,9946.569845204316
203,9946.569845204316
204,9946.569845204316
205,9946.569845204316
206,9946.569845204316
207,9946.569845204316
208,9946.569845204316
209,9946.569845204316
210,9946.569845204316
211,9946.569845204316
212,9974.724854076863
213,9974.724854076863
214,9974.724854076863
215,9974.724854076863
216,9974.724854076863
217,9974.724854076863
218,9974.724854076863
219,9974.724854076863
220,9974.724854076863
221,9974.724854076863
222,9974.724854076863
223,9974.724854076863
224,9974.724854076863
225,9974.724854076863
226,9974.724854076863
227,9974.724854076863
228,9974.724854076863
229,9974.724854076863
230,9974.724854076863
231,9974.724854076863
232,9974.724854076863
233,9974.724854076863
234,9974.724854076863
235,9974.724854076863
236,9974.724854076863
237,9974.724854076863
238,9974.724854076863
239,9974.724854076863
240,9974.724854076863
241,9974.724854076863
242,9974.724854076863
243,9974.724854076863
244,9974.724854076863
245,9974.724854076863
246,9974.724854076863
247,9974.724854076863
248,9974.724854076863
249,9974.724854076863
250,9974.724854076863
251,9974.724854076863
252,9974.724854076863
253,9974.724854076863
254,9974.724854076863
255,9974.724854076863
256,9974.724854076863
257,9974.724854076863
258,9974.724854076863
259,9974.724854076863
260,9974.724854076863
261,9974.724854076863
262,9974.724854076863
263,9974.724854076863
264,9974.724854076863
265,9974.724854076863
266,9974.724854076863
267,9974.724854076863
268,9974.724854076863
269,9974.724854076863
270,9974.724854076863
271,9974.724854076863
272,9974.724854076863
273,9872.82485663707
274,9872.82485663707
275,9872.82485663707
276,9872.82485663707
277,9872.82485663707
278,9872.82485663707
279,9872.82485663707
280,9872.82485663707
281,9872.82485663707
282,9872.82485663707
283,9872.82485663707
284,9872.82485663707
285,9872.82485663707
286,9872.82485663707
287,9872.82485663707
288,9872.82485663707
289,9872.82485663707
290,9872.82485663707
291,9872.82485663707
292,9872.82485663707
293,9872.82485663707
294,9872.82485663707
295,9872.82485663707
296,9872.82485663707
297,9872.82485663707
298,9872.82485663707
299,9872.82485663707
300,9872.82485663707
301,9872.82485663707
302,9872.82485663707
303,9872.82485663707
304,9872.82485663707
305,9872.82485663707
306,9872.82485663707
307,9872.82485663707
308,9872.82485663707
309,9872.82485663707
310,9872.82485663707
311,9872.82485663707
312,9872.82485663707
313,9872.82485663707
314,9872.82485663707
315,9872.82485663707
316,9872.82485663707
317,9894.436907500587
318,9894.436907500587
319,9894.436907500587
320,9894.436907500587
321,9894.436907500587
322,9894.436907500587
323,9894.436907500587
324,9894.436907500587
325,9894.436907500587
326,9894.436907500587
327,9894.436907500587
328,9894.436907500587
329,9894.436907500587
330,9894.436907500587
331,9894.436907500587
332,9894.436907500587
333,9894.436907500587
334,9894.436907500587
335,9894.436907500587
336,9894.436907500587
337,9894.436907500587
338,9894.436907500587
339,9894.436907500587
340,9894.436907500587
341,9894.436907500587
342,9894.436907500587
343,9894.436907500587
344,9894.436907500587
345,9894.436907500587
346,9894.436907500587
347,9894.436907500587
348,9894.436907500587
349,9894.436907500587
350,9894.436907500587
351,9894.436907500587
352,9894.436907500587
